Sr. No.,Name,District,Address of Hospital,Clusters in HMIS application
69,AMCU-PHC VATVA,AHMADABAD,"Kashiba Hospital,Besides Rajaram School,Opp Deriya ,Vatva"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
70,AMCU-PHC VEJALPUR,AHMADABAD,"Vejalpur Urban Health Centre, Near, Ambe Ma Temple, Opp. Water Tank, Vejalpur Village"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
71,AMCU-PHC VIRATNAGAR,AHMADABAD,"Viratnagaruphc Opp Lilanagar Smashan Gruh,Nikol Gam Road ,Thakkarnagar Char Rasta"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
72,CHC Bavla,AHMADABAD,Opp Pravinpetrol Pump Bus Stand Road," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
73,CHC BOPAL GHUMA,AHMADABAD,Ghuma," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
74,CHC Chandkheda,AHMADABAD,"Community Health Center, Opposite Mani Krupa School, Ioc Road, Chandkheda"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
75,CHC Detroj,AHMADABAD,Detroj," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
76,CHC Dhandhuka,AHMADABAD,Dhandhuka," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
77,CHC Dholka,AHMADABAD,Dholka," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
78,CHC MANDAL,AHMADABAD,Mandal," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
79,CHC Sanand,AHMADABAD,"Nr Bhavnath Temple,Sanand"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
80,CHC Sarkhej,AHMADABAD,Sarkhej," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
81,CHC Singarva,AHMADABAD,Dascroi," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
82,CHC Viramgam,AHMADABAD,Viramgam," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
83,CIVIL HOSPITAL AHMEDABAD,AHMADABAD,D Block Office Of The Medical Superintendent Civil Hospital Asarwa,"CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC
"
84,"COMMUNITY HEALTH CENTRE, BAGODARA",AHMADABAD,Bagodara,"CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACKA
"
85,DANILIMDA CHC,AHMADABAD,"Danilimda Urban Health Centre, Near Uttamnagar Soc, Behind Zahra Flat, Danilimda Gaam"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
86,DUDHESHWAR URBAN HEALTH CENTER,AHMADABAD,"New Shahpur  Met. Home  Dudheshwar Uhc , O/S Shahpur Gate, Nr, Lala Kaka Hall"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
87,General Hospital  Sola,AHMADABAD,Near Gujarat High Court Sg Highway," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
88,GOMTIPUR CHC,AHMADABAD,"Opp Dena Bank, Opp Municipal Shak Market, Near Gomtipur Darwaja"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
89,Government Dental College And hospital Ahmedabad,AHMADABAD,"New Civil Hospital Campus, Asarwa"," CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY 
"
90,GovernmentCLSC Spine Institute  Physiotherapy,AHMADABAD,Civil Campus Asarva," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, Cluster - 14 JOINT REPLACEMENT, CLUSTER-16 ENT, CLUSTER-17
"
91,HOSPITAL FOR MENTAL HEALTH GIMH,AHMADABAD,Out Side Delhi Gate Near Hb Kapadiya School Shahibag Road," CLUSTER-22 MENTAL DISORDER PACKAGES
"
92,IKDRC ITS,AHMADABAD,"Ikdrc, Civil Campus"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRIC SURGERY, CLUSTER-8 POLY-TRAUMA, CLUSTER-9 MEDICAL ONCOLOGY, CLUSTER-11 SURGICAL ONCOLOGY, 
"
93,M & J WESTERN REGIONAL INSTITUTE OF OPHTHALMOLOGY,AHMADABAD,Manjushree Mill Compound Badiyalimdi Cross Road Opposite Ioc Petrol Pump Asarwa,"CLUSTER-18 OPTHALMOLOGY
"
94,P.H.C. KOTH,AHMADABAD,0," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
95,PHC PRAJNA HEALTH CARE,AHMADABAD,"1982, Subhashnagar, Near Shivshaktinagar Amts Bus Stand,"," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
96,Primary Health Centre Akaru,AHMADABAD,Akaru," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
97,Primary Health Centre AMBALIYARA,AHMADABAD,AMBALIYARA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
98,Primary Health Centre ASLALI,AHMADABAD,ASLALI," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
99,Primary Health Centre Bhadiyad,AHMADABAD,Bhadiyad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
100,Primary Health Centre CHALODA,AHMADABAD,CHALODA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
101,Primary Health Centre Chekhla,AHMADABAD,Chekhla," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
102,Primary Health Centre Dholera,AHMADABAD,Dholera," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
103,Primary Health Centre GANGAD,AHMADABAD,GANGAD," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
104,Primary Health Centre GANOL,AHMADABAD,GANOL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
105,Primary Health Centre GORRAIYA,AHMADABAD,GORRAIYA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
106,Primary Health Centre Hadala,AHMADABAD,Hadala," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
107,Primary Health Centre JETALPUR,AHMADABAD,JETALPUR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
108,Primary Health Centre KANBHA,AHMADABAD,KANBHA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
109,Primary Health Centre KARAKTHAL,AHMADABAD,KARAKTHAL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
110,Primary Health Centre KASINDRA,AHMADABAD,KASINDRA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
111,Primary Health Centre KATOSAN ROAD,AHMADABAD,ROAD," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
112,Primary Health Centre KAVITHA,AHMADABAD,KAVITHA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
113,Primary Health Centre KOTH,AHMADABAD,KOTH," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
114,Primary Health Centre KUHA,AHMADABAD,KUHA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
115,Primary Health Centre KUMARKHAN,AHMADABAD,KUMARKHAN," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
116,Primary Health Centre MANIPURA,AHMADABAD,MANIPURA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
117,Primary Health Centre Modasar,AHMADABAD,Modasar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
118,Primary Health Centre NANDEJ,AHMADABAD,NANDEJ," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
119,Primary Health Centre NANODARA,AHMADABAD,NANODARA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
120,Primary Health Centre Pipli,AHMADABAD,Pipli," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
121,Primary Health Centre RAMPURA,AHMADABAD,RAMPURA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
122,Primary Health Centre RUDATAL,AHMADABAD,RUDATAL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
123,Primary Health Centre Sanathal,AHMADABAD,Sanathal," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
124,Primary Health Centre SHIYAL,AHMADABAD,SHIYAL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
125,Primary Health Centre SITAPUR,AHMADABAD,SITAPUR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
126,Primary Health Centre TRANSAD,AHMADABAD,TRANSAD," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
127,Primary Health Centre TRENT,AHMADABAD,TRENT," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
128,Primary Health Centre Upardal,AHMADABAD,Upardal," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
129,Primary Health Centre Vagad,AHMADABAD,Vagad," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
130,Primary Health Centre VAHELAL,AHMADABAD,VAHELAL," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
131,Primary Health Centre VASVA,AHMADABAD,VASVA," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
132,Primary Health Centre VATAMAN,AHMADABAD,VATAMAN," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
133,Primary Health Centre Virochannagar,AHMADABAD,VirochaNagar," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
134,Primary Health Centre VITHALAPUR,AHMADABAD,VITHALAPUR," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
135,Primary Health Centre Zolapur,AHMADABAD,Zolapur," CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-23 EMERGENCY ROOM PACKAGES (Care Requiring Less Than 12 hrs Stay), CLUSTER-24 PEAEDIATRIC MEDICAL MANAGEMENT
"
136,RAKHIAL CHC,AHMADABAD,"Rakhial Community Health Centre,Opp. Rakhial Myunicipal School,Rakhial Chara Rasta,Rakhial"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
137,Rukshmani government hospital,AHMADABAD,Near Physical Ground Maninagar Ramkrishna Parmarth Marg Khokhra Mehmadabad Ahmedabad," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
138,SABARMATI CHC,AHMADABAD,"Ramnagar, Sabarmati"," CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-16 ENT, CLUSTER-17 OBSTETRICS AND GYNAECOLOGY, CLUSTER-18 OPTHALMOLOGY, CLUSTER-19 GENERAL SURGERY, CLUSTER-20 ORAL AND MAXILLO FACIAL SURGERY, CLUSTER-21 GENERAL MEDICINE, CLUSTER-22 MENTAL DISORDER PACK
"
139,SARDAR VALLABHBHAI PATEL INSTITUTE OF MEDICAL SCIENCES AND RESEARCH,AHMADABAD,Sardar Vallabhbhai Patel Institute Of Medical Sciences And Research," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
140,Sheth Lalubhai Gordhandas General hospital,AHMADABAD,Mani Nagar Estate Road Balvatika Maninagar Ahmedabad," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
141,SHREE C H NAGRI MUNICIPAL EYE HOSPITAL,AHMADABAD,"Near Gujarat College, Mithakhali, Ellisbridge"," CLUSTER-18 OPTHALMOLOGY
"
142,Smt. Shardaben Chimnlal Lalbhai Municipal General H,AHMADABAD,"Sayedna Kutbuddin Saheed Marg, Saraspur, Ahmedabad"," CLUSTER-1 BURNS AND PLASTIC SURGERY, CLUSTER-2 CARDIOLOGY, CLUSTER-3 CARDIO THORACIC SURGERY, CLUSTER-4 CARDIO VASCULAR SURGERY, CLUSTER-5 GENITO URINARY SURGERY (RENAL), CLUSTER-6 NEUROSURGERY/NEUROLOGY/INTERVENTIONAL NEURORADIOLOGY, CLUSTER-7 PAEDIATRI
"
